Date,volume
2018-04-14,463617555.31277305
2018-04-15,573360855.0441558
2018-04-16,394991691.10931724
2018-04-17,464196480.7572402
2018-04-18,464912252.67378193
2018-04-19,794298021.3600045
2018-04-20,651772735.957254
2018-04-21,465733651.16133994
2018-04-22,450699812.6496822
2018-04-23,1018367445.3468827
2018-04-24,1422424550.9066591
2018-04-25,844331716.0751168
2018-04-26,585397247.860827
2018-04-27,715447010.8945911
2018-04-28,462929664.3529466
2018-04-29,418094847.7244384
2018-04-30,527697023.85466576
2018-05-01,388274885.0666991
2018-05-02,680877288.7332388
2018-05-03,574880148.5525826
2018-05-04,537691046.6820551
2018-05-05,469126978.3503543
2018-05-06,280712076.1287486
2018-05-07,517076475.2582592
2018-05-08,488309747.67100143
2018-05-09,429069482.61306053
2018-05-10,463167940.3319524
2018-05-11,614413743.6616971
2018-05-12,406595675.33447516
2018-05-13,706860457.8909063
2018-05-14,454469063.70223063
2018-05-15,600159885.9054794
2018-05-16,424479322.03378755
2018-05-17,412136776.7411436
2018-05-18,218570551.05819646
2018-05-19,262757456.5916241
2018-05-20,289720578.7972934
2018-05-21,305894176.50134945
2018-05-22,699344596.5278566
2018-05-23,621630127.4827429
2018-05-24,431191188.04293126
2018-05-25,206933926.37232855
2018-05-26,212506321.22523677
2018-05-27,359150380.4854495
2018-05-28,457810459.5313444
2018-05-29,339813351.37757105
2018-05-30,255228873.4843311
2018-05-31,302871386.6901203
2018-06-01,240176294.70087594
2018-06-02,177606670.8317508
2018-06-03,294372762.3021108
2018-06-04,310610271.6716796
2018-06-05,295953157.9199407
2018-06-06,226860730.56767535
2018-06-07,192350883.74351424
2018-06-08,91992940.35597539
2018-06-09,736759768.9359704
2018-06-10,378492500.7529921
2018-06-11,401258529.22507364
2018-06-12,582320290.4371136
2018-06-13,507468883.67457664
2018-06-14,244527145.90425405
2018-06-15,172210435.53273633
2018-06-16,121723139.68069099
2018-06-17,287235898.7737913
2018-06-18,233317200.37502286
2018-06-19,309788517.0271283
2018-06-20,246549992.04709232
2018-06-21,478403874.50570005
2018-06-22,558291379.5169584
2018-06-23,450337175.88210005
2018-06-24,501623219.8642
2018-06-25,363193880.4348
2018-06-26,345979167.6112
2018-06-27,262900494.3876923
2018-06-28,414797814.0758249
2018-06-29,489427084.1189
2018-06-30,224327884.55087498
2018-07-01,281178824.1085834
2018-07-02,356469308.56780005
2018-07-03,345023639.28213334
2018-07-04,359185743.354075
2018-07-05,309943305.8994461
2018-07-06,216238561.65835002
2018-07-07,285993884.485
2018-07-08,220403963.38473335
2018-07-09,385405419.24266666
2018-07-10,361861965.470775
2018-07-11,313761610.21449167
2018-07-12,304859782.2167667
2018-07-13,243555155.3039
2018-07-14,178134461.97995833
2018-07-15,301675832.613725
2018-07-16,499528836.8743
2018-07-17,805118967.8872999
2018-07-18,559342105.92
2018-07-19,490150501.94261664
2018-07-20,425993493.86343074
2018-07-21,233536540.3604
2018-07-22,547531100.7664
2018-07-23,823187997.8289001
2018-07-24,864732263.0617
2018-07-25,506038858.7382999
2018-07-26,657006645.97765
2018-07-27,437067809.3401834
2018-07-28,261609974.09137502
2018-07-29,381316455.4825583
2018-07-30,685149433.5815834
2018-07-31,709577850.3427166
2018-08-01,436605505.40333337
2018-08-02,473049731.6900834
2018-08-03,450885758.33475
2018-08-04,444011358.29234165
2018-08-05,321607416.45345
2018-08-06,367996501.7604
2018-08-07,717117072.3086154
2018-08-08,616864330.6616999
2018-08-09,486037319.6083933
